sample_id,Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34,Sp35,Sp36,Sp37,Sp38,Sp39
MMRF_1048_1_BM,-0.095112836,-0.598799774,0.784598232,-0.808522522,0.343297718,-0.856624981,0.004547526,0.90558187,-1.379946057,-1.393393423,0.149635033,0.431212286,0.395614948,-1.118524436,2.755861473,0.423917813,-0.463524516,-0.378361885,0.068146983,1.40986058,-0.332233318,0.335908178,-1.779591535,1.579451995,-0.040480156,-0.001824258,1.575407404,-0.307260477,0.12218538,-0.831103357,1.137607328,-2.02205052,-1.061240772,-0.15549527,-0.624939456,-0.818367879,-0.507719814,-0.621682262,-0.100358742
MMRF_1068_1_BM,-0.559788952,0.674815733,0.254741262,0.764866961,0.800367891,0.480543135,-0.840430468,0.26691555,0.089005338,-0.284739605,1.191961509,0.620073173,-1.140531814,-0.147618939,-0.021851656,-0.862077193,1.196721445,0.093366508,-0.017746147,-0.197318269,-0.83965491,-0.414173949,-0.047156254,0.711257805,-0.738768053,0.153179714,-0.252455813,1.211875071,1.152230884,0.292494059,-0.124254435,-0.838986885,-0.765537978,-0.419182989,0.305775938,-0.319265868,-1.635816612,0.790385447,-0.940475913
MMRF_1073_1_BM,-0.041423363,1.752869397,-0.429858766,-0.245516056,0.320182192,0.370723697,0.93859843,-0.007886423,0.067791154,0.655820598,0.923840937,1.714133994,0.258243041,0.111390851,-1.005817573,0.057941577,0.877573803,-0.040014047,-0.325399591,-0.933536038,-1.179693297,-1.21474789,-0.183319234,0.926789949,-1.640159459,0.450988077,0.69790474,-0.992672372,-0.092243593,0.010351078,-0.156251897,-0.128722203,0.354268723,-0.334765081,1.451883209,0.769757037,0.663073373,0.158428122,1.640191873
MMRF_1077_1_BM,-0.262535904,0.613772636,-1.260962498,-0.300797081,-0.373649106,0.252689052,1.385869193,0.560326173,-1.023549639,0.77161042,-0.321829011,-0.019857287,0.628789267,0.227920872,-1.070882688,0.674661759,-0.846432078,-0.907309497,0.374495024,-0.310687351,0.889981032,-0.992827921,0.262791311,-0.613578772,0.28907938,0.332381524,0.788421809,-0.021784656,-0.152812427,0.864905173,0.38284897,-0.183394351,0.654076256,0.797276317,-0.73169838,-1.452087112,-0.804272784,0.047157763,0.169448343
MMRF_1078_1_BM,0.395246432,-1.222744417,1.589435869,-1.730014047,-0.397709906,-1.867088272,-1.705630954,-0.794082481,-1.158967119,0.167108785,-2.533645671,0.910346296,0.274826898,-0.433628866,1.649375058,-0.412701515,0.971813887,-0.241012553,-0.769825533,-0.645605328,0.592136911,-0.181473992,-0.194057307,0.690922239,1.018860982,-0.268751822,-1.16980067,-0.396313154,-0.86046065,-1.729429074,-1.582873102,-0.188367641,0.228014759,-0.016959564,0.544310729,-0.779630331,1.245931506,0.571030659,1.334791155
MMRF_1079_1_BM,-0.955986168,-0.293521262,0.046939137,-1.402312517,-1.843294031,0.705083767,-0.191337397,-0.450483367,0.019825934,-0.634779934,0.492110492,-0.035438858,1.053834865,2.092424568,-0.389104484,1.607753475,-1.731809473,-0.419064459,-0.192167586,-0.227916392,0.682659891,0.443134501,0.322112989,0.65781527,0.084795397,0.151336637,-0.739223255,1.423842151,0.321024418,-0.641912875,0.796651558,0.007687314,-0.491889744,0.925160168,0.161008756,-0.215361085,1.217174213,0.777611729,-0.250725461
MMRF_1080_1_BM,0.509839617,1.657345062,-0.516762783,-0.663639104,0.59985482,-1.476846993,0.359286069,-0.267756458,-0.832492936,-1.350294991,0.220754008,-0.971217497,0.318388082,0.717478875,1.015773788,1.275397453,1.201473891,0.872640966,0.009756615,-1.016406654,0.41844162,1.264326687,0.703952453,0.163974672,1.40590234,-1.319140081,-1.908228264,-1.250209736,-2.298441955,-1.221815641,-0.294737995,-0.215072277,0.370795096,0.179265142,2.033090743,-0.626842261,0.401044307,-0.33279339,0.854233616
MMRF_1082_1_BM,-1.081216109,-1.667257689,-1.292713229,2.132793208,-1.763216417,0.46872296,0.152131537,-0.756652598,1.215688015,-0.901435242,0.98013738,-1.250960658,-1.403971992,0.976473168,-0.439649974,-0.223750663,0.848545585,0.275491307,0.439417831,-0.273813943,-1.398389573,-0.334757383,-2.157076935,-0.084411916,1.311017178,0.503376491,1.431376173,-1.255631177,-1.341022191,-1.659590661,-1.009976715,-2.632035682,0.265285952,0.423112068,1.500304042,2.146134486,0.001096812,-2.813375333,-0.075525649
MMRF_1086_1_BM,0.042982841,1.294088678,0.685708672,-0.495956337,0.297251799,-0.207518717,-0.490480042,-0.061675688,-0.763788004,-0.347887286,1.073074831,-0.217112584,0.342447089,-0.514505618,1.433281221,-0.258804309,-0.629382606,-0.042411321,-0.718686207,0.372627284,-0.48674095,0.197454359,4.182008726,0.335825112,-0.417288584,0.462531018,-0.533406661,0.907225593,0.801668529,-0.603651985,0.231750301,0.905885515,0.522231007,0.029565319,-0.272130752,1.182796695,-0.267257704,-1.493423214,-0.970503831
MMRF_1089_1_BM,-0.034246939,1.180388051,0.605521027,0.516087403,0.152966217,0.166731934,-0.00507784,-1.559925917,-0.543879925,-0.759602245,0.932648575,-0.655686856,-1.233133809,1.187066098,0.664947335,0.858284918,1.300326956,0.557049653,-0.284804356,0.81437757,0.096655473,1.231002038,-0.034766441,-0.178811038,0.291151171,-1.031209333,-0.843660877,2.72474911,-1.575173818,0.806434442,-0.096744746,-3.046710226,-0.292600255,-0.072003956,1.207775154,0.14183385,1.028999363,-0.005702119,1.191794171
