pc,value,idx,selected,perpcept,y,x,dist,propvar,cumulpropvar
PC1,274.938648832467,0,Selected,274.938648832467,274.938648832467,0,5.6843418860808e-14,0.0874207046544902,0.0874207046544902
PC2,228.904744420239,1,Selected,226.118668314704,269.367003729857,15.5230272888973,42.9896819024385,0.0727835614998127,0.160204266154303
PC3,164.509877379017,2,Selected,158.937725167948,261.699889386456,36.884191359447,103.260860159155,0.0523082857363601,0.212512551890663
PC4,123.710138659862,3,Selected,115.351910343259,256.725600393799,50.7429390639102,141.324100176695,0.0393354209765533,0.251847972867216
PC5,120.714575714979,4,Selected,109.570271292842,256.065763159972,52.5812958146166,143.805723967431,0.038382938578787,0.290230911446003
PC6,94.2245355394103,5,Selected,80.2941550117392,252.724587514855,61.89006544387,168.400552322213,0.0299600486420394,0.320190960088043
PC7,85.1095055796673,6,Selected,68.393048946462,251.366357982172,65.6741962907094,176.641871235928,0.0270617935389052,0.347252753626948
PC8,75.4386608702059,7,Selected,55.9361281314663,249.944695353134,69.6350565716031,185.406327784908,0.0239868091280361,0.371239562754984
PC9,70.3584009400121,8,Selected,48.0697920957383,249.046939307676,72.1362732384516,189.850086354706,0.0223714672879147,0.393611030042899
PC10,60.0272659721008,9,Selected,34.9525810222928,247.549920176121,76.3070824704061,199.236013788668,0.0190865340760483,0.412697564118947
PC11,52.8739088997329,10,Selected,25.0131478443906,246.415569166533,79.4674707135069,205.630989265143,0.0168120211308252,0.429509585249772
PC12,51.3915844086054,11,Selected,20.744747247729,245.928432280607,80.8246711515083,206.688339974443,0.0163406947018519,0.445850279951624
PC13,42.8971528361203,12,Selected,9.46423956970959,244.641029362937,84.4114736586252,214.345546334607,0.0136397677973973,0.459490047749021
PC14,40.2241829026949,13,Selected,4.00519353075001,244.018008484901,86.147257240171,216.523542801216,0.0127898584954763,0.472279906244498
PC15,38.4455668187603,14,Selected,-0.559498658718866,243.497056927513,87.5986679263502,217.859765712609,0.0122243218856629,0.484504228130161
PC16,34.0822503490825,15,Selected,-7.70889123393084,242.681123006486,89.871921927418,221.628730915116,0.0108369425483832,0.495341170678544
PC17,32.9222062904981,16,Selected,-11.6550113980495,242.230766802867,91.1266485852993,222.382748502259,0.0104680898262855,0.505809260504829
PC18,30.8705777666799,17,Selected,-16.4927160274019,241.678657338256,92.6648675722926,223.975933076276,0.00981574497770542,0.515625005482535
PC19,29.1949634973518,18,Selected,-20.9544064022642,241.169460999732,94.0835273240801,225.215209791569,0.00928295927887468,0.524907964761409
PC20,26.6142009852466,19,Selected,-26.3212450199036,240.556963416092,95.7899922065561,227.306419838121,0.00846236865506754,0.533370333416477
PC21,26.4384347504055,20,Selected,-29.283087360279,240.218939226089,96.7317533254146,227.13402665006,0.00840648124829687,0.541776814664774
PC22,25.3395403930292,21,Selected,-33.1680578231895,239.775561813319,97.9670365408673,227.830489611128,0.00805707195473037,0.549833886619504
PC23,24.0503370701844,22,Selected,-37.2433372515686,239.310465137161,99.2628312770736,228.706073011542,0.00764715118366163,0.557481037803166
PC24,23.1713818503903,23,Selected,-40.9083685768969,238.892188570516,100.42818162491,229.195527359767,0.00736767470772621,0.564848712510892
PC25,22.966150950774,24,Selected,-43.8996755820473,238.550801686521,101.379311465151,229.050866568269,0.00730241858626961,0.572151131097162
PC26,20.6564220809778,25,Selected,-48.9954805573778,237.969236177204,102.999597234461,230.886977413537,0.00656800701403029,0.578719138111192
PC27,20.4790861223483,26,Selected,-51.9588926215415,237.63103284039,103.941857469971,230.716061663042,0.00651162049096487,0.585230758602157
PC28,19.4570179820416,27,Selected,-55.7670368673825,237.196423321657,105.152712665351,231.340215126126,0.00618663920001159,0.591417397802168
